Number;Description;Development_Type;Dev_Cat;Affect_RPA;Dev_Sprint;Effort;Assignment_group
RITM0510939;Desenvolver Ui Action para que um determinado grupo de pessoas do WBS (grupo do AD) possam alterar o passo de execução dos workflows das solicitações (estilo Flow Management), sendo necessário aplicar uma limitação de forma que somente seja possível voltar o fluxo para um passo anterior e não seja possível avançar o fluxo para passos após o passo corrente.;Agent Workspace;;No;Sprint 5;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0510975;"Realizar estudo para definir forma de classificar as solicitações com base na visão gerencial, visão societária, visão de organograma e visão de vendas.
Em anexo e-mails com algumas definições.";Service Catalog;;No;21;80;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0528476;"Incluir campo ""Empresa"" nos formulários OTC_019 / OTC_026 / OTC_053 /  OTC_286 /  OTC_359 /  OTC_363 /  OTC_394
O campo pode ser inserido no inicio do formulário.
O campo deve buscar a tabela de Empresas no SAP.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0528838;"Gentileza adicionar país no formulário ""Solicitar desenvolvimento na Plataforma WBS (ServiceNow)
Para que seja mais fácil de identificar a fase e a priorização.";Others;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0545779;"OTC_056 - Gentileza eliminar a primeira tarefa do Workflow ""Enviar e-mail a area de Vendas e Logística"" e alterar nome da task ""Confirmar e analisar carta de crédito de exportação"" para ""Analisar draft carta de crédito e enviar para análise da logística""
Importante: Antes de eliminar a primeira tarefa, observar o SLA e soma-lo a tarefa que será alterada o nome.
Adicionar nota abaixo do título principal da oferta de serviço, onde fica visível pro solicitante na plataforma.
Nota: ""Essa etapa é exclusiva da área de crédito. Deve-se aguardar também a análise da logística por e-mail, referente aos demais pontos apresentados no draft.""";Workflows and Tasks;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0546590;"OTC_136 - Gentileza analisar tabela de condições de pagamento utilizada nesse serviço. No campo ""condições de pagamento""
Contem condições que nao estão ativas no SAP, exemplo: 0001 - 0004 - AH31 ...";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0547239;"Efetuar ajustes OTC_027
conforme anexo.";Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0547311;Efetuar ajuste OTC_134 conforme anexo;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0547334;Efetuar ajuste OTC_243 conforme anexo;Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0547360;Efetuar ajuste OTC_291 conforme anexo;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0547385;Criar nova oferta OTC_500 - Rotina;Service Catalog;;No;SP 7;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0547394;Criar nova oferta OTC_501 rotina;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0547418;Criar nova oferta OTC_510 request;Service Catalog;;No;sp 6;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0547418;Criar nova oferta OTC_510 request;Service Catalog;;No;sp 6;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0547973;"Efetuar ajustes nos OTC_019 - 029 - 036 - 038 - 046 - 048 - 050 - 132 - 359 - 394.
Conforme anexo";Service Catalog;;Yes;sprint 8;20;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0548094;"Gentileza avaliar tabela utilizada no campo ""Setor de atividade"" das ofertas abaixo. Esta buscando setores inativos, como por exemplo ""33"". Verificar tambem as 3 primeiras opções.. pra eliminar da tabela. Analisar tambem a tabela utilizada no campo ""Condição de pagamento"", nao esta trazendo somente as ativas.
OTC_141
OTC_136
OTC_142
OTC_281
OTC_282";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM0548418;Efetuar ajustes OTC_289 - 363 conforme anexo;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0548444;Ajustes Ofertas OTC_283 - 284 - 285 - 286 - 287 - 290 Criar workflow novos e filas... - conforme anexo;Service Catalog;;No;Sprint 6;30;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0548491;"Ajustar ofertas OTC_016 - 045 - 133 - 384 - 393 conforme anexo
Todos serao rotina dinamica (Key0001)";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0548510;"Ajustar ofertas OTC_060 - 140 - 247 - 248 conforme anexo.
Todas serão rotina dinâmica (Key0002)";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0548525;"Ajuste OTC_249 - conforme anexo
Rotina dinamica Key0003";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0548533;"Ajuste Oferta OTC_378 conforme anexo
Rotina dinamica Key0005";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0549647;"Mudar formulário Espuma Headset Padrão para fluxo IT_WF_054
Material SAP =  https://wbs.myweg.net/u_it_purchase_material_list.do?sys_id=049dada51bcdb050b5442068b04bcb1c&sysparm_view=";Workflows and Tasks;;Yes;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0549680;Ajustar fluxo do item Suporte para notebook para IT_WF_054 com o material seguinte > https://wbs.myweg.net/u_it_purchase_material_list.do?sys_id=4ffeb30f47baf45417337942846d43fd&sysparm_view=;Workflows and Tasks;;Yes;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0552003;Mudar agendamentos das rotinas do RTR no final do ano, conforme planilha a ser preparada.;Service Catalog;;Yes;05;10;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0553460;"Incluir pergunta e fluxo ""Necessário encaminhar para Contas a receber?"" na oferta de serviço OTC_181 | Faturar Venda de Item de Projeto com Operação de Triangulação - Categoria ZETO";Workflows and Tasks;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0554489;Criar calendário para RTR_Rout_361: 2° dia útil as 11hr;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0554785;Criar caldendário para RTR_Rout_362: Último dia útil as 10hr;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0554851;Criar calendário para RTR_Rout_363: 2º dia útil as 10hr;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0554937;Ajustar formulários de compras para atender filiais internacionais.;Workflows and Tasks;;Yes;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0557934;Necessário criar uma classificação dentro da oferta de serviço para definir quem é o responsável pela oferta, essa informação será utilizada principalmente na pesquisa de satisfação inicialmente, para definir qual equipe deve tratar a mesma;Service Catalog;;No;24;6;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0557934;Necessário criar uma classificação dentro da oferta de serviço para definir quem é o responsável pela oferta, essa informação será utilizada principalmente na pesquisa de satisfação inicialmente, para definir qual equipe deve tratar a mesma;Service Catalog;;No;24;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0558013;As tarefas de reabertura estão obrigando o ServiceDesk a preencher variáveis obrigatórias, como eles fazem o repasse da atividade apenas é necessário desenvolver uma exceção para que seja possível repassar sem responder as variáveis.;Agent Workspace;;No;24;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0558519;Ajustar WF 244 para tarefa RPA e run subflow, conforme anexo;Workflows and Tasks;;Yes;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0558965;"Desenvolver uma guia no acompanhamento da solicitação que mostre os processos de aprovações envolvidos (das solicitações e das tarefas).
Hoje não é possível ver no acompanhamento das solicitações de acessos quais são as pendências de aprovação de tarefas.

Exemplo: RITM0529267 / RITM0528744";Portal (Employees / Internal Users);;No;21;20;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0559030;"A usuária alineluisa esta recebendo notificações por e-mails de itens ja respondidos.
Ex: RITM0543836 
Gentileza avaliar, isso ja ocorreu anteriormente para a mesma usuária.";E-mail Notifications;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0559332;"Gentileza criar nova oferta de serviço conforme anexo e informações abaixo:
O formulario deve ser o mesmo que o OTC_281.
O que ficará diferente é o nome do formulario (anexo) e as regras de fila.";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0559649;"Gentileza criar uma nova oferta com base no anexo e informações abaixo:
O Formulario deve ser criado igual o OTC_003, apenas retirar as notas que estão no título da oferta:
Análise de fornecimentos e limites até R$500.000,00 e US$300.000,00.
Formulário para analisar limite crédito ou novos fornecimentos até R$500.000,00 e US$300.000,00. Acima desse valor, deve ser aberta a solicitação ""Analisar fornecimento em Comissão de Crédito""";Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0559714;"Gentileza criar oferta de Serviço conforme anexo.
O formulário deve ser igual o OTC_372";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0559829;"Gentileza criar oferta de serviço conforme anexo e informações abaixo:
O formulario deverá ser criado conforme OTC_282,  apenas modificar a nota do titulo da oferta para ""Lembrando que se o cadastro informado foi criado por alguma filial que não seja a sua, é necessário solicitar o e-mail da filial autorizando a modificação de dados. Caso contrário, não será permitida a alteração. Ex: Cadastro realizado no Brasil, não poderá ser atualizado por outra filial sem autorização do Brasil.""";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0560036;"Criar solução para permitir clonar workflow, essa ação é de grande importância caso façamos com que as esteiras deixem de usar as planilhas de cadastro.
A ação deve clonar o fluxo ajustando o nome (talvez inserindo um v_02) ou algo do tipo.";Workflows and Tasks;;No;12;40;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0560046;"Criar rotina para validação de itens do control room (erros de cadastro).
Periodicidade: diária 8:00AM";Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0560607;"Gentileza efetuar alterações conforme abaixo:
Oferta OTC_001
* Incluir campo Empresa como primeiro campo do formulario. Nesse campo deve conter a tabela de empresas
* Alterar campo ""Condição de pagamento para Mercado Nacional ou Mercado Externo?"" para ""Informe abaixo se o Cliente é do Brasil ou Cliente diferente de Brasil?"" e mudar as opções da seleção de Mercado nacional para ""Cliente do Brasil"" e Mercado externo para ""Cliente diferente de Brasil"". Favor manter as regras que continham nessas opções e somente mudar o nome.
* Alterar nota do formulario no Portal de ""Serviço para solicitar condição de pagamento de clientes Mercado Interno e Externo."" para ""Serviço para solicitar condição de pagamento para clientes";Service Catalog;;No;sprint 8;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0560610;"Corrigir o português no WF da oferta OTC_237 da fila de fechamento Brasil. Corrigir a palavra contabilidade na task ""Enviar proposta de provisão para cotabilidade""";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0560913;"Gentileza fazer a inclusão abaixo nas ofertas OTC_218 e OTC_141:
Incluir campo Empresa como primeiro campo do formulário. Nesse campo deve conter a tabela de empresas ativas WEG. Ex: 1001/1013...";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0560987;"Gentileza criar nova oferta conforme anexo e informações abaixo:
Poderá ser feito a copia da oferta OTC_136 porém eliminar campos abaixo:
Campos: Empresa, E-mail XML, E-mail FIN, Setor Industrial, código do representante, Necessário cadastrar YS? Se sim, qual o código?, Necessário cadastrar Z6 (Agente de redespacho)? Se sim, qual o código?, Necessário cadastrar TR (Agente de frete) ? Se sim, qual o código?. Adicionar pergunta no formulario para o atendente responder na primeira task ""Necessario analise de crédito?"" Se sim, abrir task ""Analisar alteração ou inclusão de limite de crédito"".  SLA Total da oferta 16 horas";Service Catalog;;No;sprint 8;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0561093;Quando uma SCTASK, que está atribuída a um atendente X, é fechada por um atendente Y não ocorre a atualização de qual atendente finalizou a SCTASK. Foi solicitado que a SCTASK mude de X para Y. Deverá ser avaliado e decidido se isso é um comportamento aplicável.;Workflows and Tasks;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0562539;"Criar o botão de ""Escalar"" no Agent Worspace, pois com a atualização de formulários públicos, não temos o view do botão na plataforma.";Agent Workspace;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0564064;"Criar novo formulário de compras de TI que contenha os seguintes itens
Nome: Kit SFM
Contém: Adaptador wireless - monitor touch 14 - monitor 21,5 - Mini PC
Os itens já existem, porem hoje são solicitados separadamento.

O fluxo deve ser manual
1- Incluir o variable set (IT Purchase information)
2- Adicionar a possibilidade de informar elemento PEP
3- Caso selecione elemento PEP abrir multirow com as informações ""PEP - Quantidade"".
4- A Solicitação deve ser direcionada a compras de TI e depois encerrada (sem necessidade de aguardar entrega física).";Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0565004;"Eliminar do WF_122  a step  19  |  Enviar PDF para escrituração. O RPA foi ajustado para incluir o PDF na RITM, portanto não há mais necessidade de apresentar essa tarefa ao atendente.

Devido à regra de alçadas incluídas no WF_122, é necessário que o campo ""Valor a faturar"", do formulário referente à OTC_267 esteja preenchido antes de permitir submeter a solicitação. Como o preenchimento do campo ocorre de maneira automática, carregado a partir dos dados da ordem de venda, deve haver validação do preenchimento do campo.";Workflows and Tasks;;Yes;sp6;4;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0567083;"Desenvolver 3 ofertas de serviços da equipe RPA que hoje estão no Sales Force (GSP_FF_008, GSP_FF_010 e GSP_FF_011) e criar fila de atendimento.
Arquivo disponível em: https://weg365.sharepoint.com/:x:/r/sites/WBSStream/_layouts/15/doc2.aspx?sourcedoc=%7B021CEAD5-E3A7-460C-8EE1-09B4485B6947%7D&file=GSP_Service%20Catalog_OAP_EN.xlsx&action=default&mobileredirect=true&wdOrigin=TEAMS-ELECTRON.teams.files&wdExp=TEAMS-CONTROL&wdhostclicktime=1639394607169";Service Catalog;;No;8;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0568375;"Formulário Suporte para computador https://wbs.myweg.net/sp?id=sc_cat_item&sys_id=bc2d6d2f1bfcbc10b5442068b04bcbb3&catalog_id=-1 
Quando gera e-mail da abertura do incidente está indo a informação do campo descrição resumida, alterar para o campo descrição.";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0568386;Criar o formulário RTR_WF_2020 conforme orientação na planilha RTR_Service_Catalog_Americas aba Form Fields. Caso tenha dúvidas, chamar Jeniffer no teams.;Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0570866;Efetuar ajustes nas ofertas OTC_052 / 392 / 364 / 368;Service Catalog;;No;GPRETTO - RITM0570866 - Efetuar ajustes nas ofertas OTC_052 / 392 / 3... - seq01;10;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570889;Efetuar ajustes ofertas OTC_053 / 139 / 402;Service Catalog;;No;;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570933;Efetuar ajuste oferta OTC_027;Service Catalog;;No;;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570942;Efetuar ajustes ofertas OTC_052 / 392 / 364 / 368;Service Catalog;;No;sp 6;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570951;Efetuar ajustes ofertas OTC_053 / 139 / 402;Service Catalog;;No;SP 6;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570962;"Efetuar ajuste oferta OTC_243 
(go-live chile)";Service Catalog;;No;gsc-sc-Desenvolvimento - sp 6;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570978;Efetuar ajuste oferta OTC_291;Service Catalog;;No;;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0570991;Efetuar ajuste oferta OTC_500;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0570998;Efetuar ajuste oferta OTC_501;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571006;Efetuar ajuste oferta OTC_510;Service Catalog;;No;sp 6;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571040;Efetuar ajustes varias ofertas OTC. Requests de account receivable;Service Catalog;;Yes;;20;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571071;Efetuar ajustes em ofertas OTC. Requests Collection;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571081;Efetuar ajuste ofertas OTC. Request referente a documentos;Service Catalog;;No;Sprint 6;10;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571092;Efetuar ajustes OTC - rotina key0001;Service Catalog;;No;SP 8;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571114;Efetuar ajustes OTC - Rotina key0002;Service Catalog;;Yes;SP 8;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0571172;Efetuar ajuste OTC - rotina key0003;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0573434;Criar novo campo no formulário e adequar os workflows com steps condicionais (descrição no processo em anexo);Workflows and Tasks;;Yes;Sprint 7;10;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0576266;"Criar rotina mensal para todo 15º dia de cada mês. Caso o 15º dia caia no final de semana, deve-se abrir no próximo dia útil subsequente. 

Grupo de atribuição: _GG_WBS_RTR_BR_TREASURY_CASH_AND_BANKS
Descrição resumida: Pagamento Mensal de Financiamentos 
Título da oferta de serviço: Solicitar informações aos bancos sobre financiamentos em aberto / Incluir provisão no Sharepoint.
SLA: 4h, sendo iniciado as 08h da manhã.";Agent Workspace;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0576475;"Criar rotina mensal para todo 16º dia de cada mês. Caso o 16º dia caia no final de semana, deve-se abrir no próximo dia útil subsequente. 
Grupo de atribuição: _GG_WBS_RTR_BR_TREASURY_CASH_AND_BANKS 
Descrição resumida: Contabilização dos Pagamentos de Financiamentos 
Título da oferta de serviço: Realizar contabilização no TRM dos pagamentos de financiamentos.
SLA: 8h, sendo iniciado as 08h da manhã.";Agent Workspace;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0577703;"Hoje só usuário da OU COUNTRIES são encontrados no campo ""Solicitado Para"", por exemplo.
Necessário incluir as OUs além da COUNTRIES do AD para que os campos do formulário da WBS localizem usuários como EUM, ADM etc.
Não incluir as OUs abaixo:
weg.net/_DESATIVADOS
weg.net/_DISABLEDUSERS
weg.net/AREA DE TESTES";Service Catalog;;No;Sprint 7;3;_GG_WBS_SERVICE_CENTER_PLANNING
RITM0577846;"Quando um chamado é encerrado o valor de Ativo muda para False e quando reaberto muda para True. Mas quando um chamado encerrado não é reaberto, mas sim alterado o Estado para qualquer um que determine que está pendente, o valor de Ativo continua False.

O campo Ativo é utilizado em diversos relatórios e dashboards para filtrar chamados abertos ou não, então essa inconsistência está gerando falso positivo nos indicadores.

Há duas possibilidades de ajuste:
1 - Que o valor de Ativo também seja alterado quando o Estado do chamado mude para qualquer um pendente.
2 - Que uma vez fechado, o chamado não possa ter o Estado alterado, apenas reaberto via portal ou workspace usando o botão REABRIR.

Em anexo alguns exemplos de chamados pendentes e Ativo=False.";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0578270;Alterar os SLAs conforme anexo. A alteração faz-se necessário devido a readequação da atividade;Workflows and Tasks;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0582166;Preencher o campo ACTUAL START em casos aonde o solicitante pegou o item e atribuiu no seu nome.;Workflows and Tasks;;Yes;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0582491;"Criar grupos para notificações de comunicados relacionados a plataforma.
1- Grupo de e-mails dos públicos

- Gestores;

- Aprovadores;

- Atendentes WBS;

- Departamento WBS;

- Usuários da plataforma;

- Atendentes por esteiras;

- Usuários externos (representantes, etc....)";E-mail Notifications;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0584176;"Ocultar a opção de adicionar comentários às solicitações no portal de serviços quando elas estão fechadas, pois nesse caso a solicitação não é reaberta e o comentário fica ""perdido"". (print em anexo).
É preciso que o solicitante reabra a solicitação para depois voltar a poder adicionar cometários.";Portal (Employees / Internal Users);;No;Sprint 7;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0588988;"Adicionar um passo no workflow do item IT_210 para montar a descrição da tarefa usando as variáveis do item, como a tarefa é submetida a aprovação manualmente a falta de informação na descrição está atrapalhando o entendimento da solicitação.
Também adicionar uma pergunta obrigatória ""Justificativa"" no formulário.";Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0589193;Aplicar mudanças nos itens de compras;Workflows and Tasks;;Yes;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0595832;"Criar template de email para workspace (avaliar padrão de assinatura)
Criar padrão e apresentar para as esteiras, necessário comunicar atendentes também.";E-mail Notifications;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0602175;"Implantação dos processos da esteira de OTC_Billing da Colombia no Service Now. 
Criação de novas ofertas de serviço, formulários, regras de aprovação, workflows e filas de trabalho. 
Ajustes nas ofertas já existentes, formulários e workflows. 
Detalhamento nos arquivos anexados.";Service Catalog;;No;;20;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
